sample_id,group,stratum
GSM2810770,DKD,single_stratum
GSM2810771,DKD,single_stratum
GSM2810772,DKD,single_stratum
GSM2810773,DKD,single_stratum
GSM2810774,DKD,single_stratum
GSM2810775,DKD,single_stratum
GSM2810776,DKD,single_stratum
GSM2810793,CONTROL,single_stratum
GSM2810794,CONTROL,single_stratum
GSM2810795,CONTROL,single_stratum
GSM2810796,CONTROL,single_stratum
GSM2810797,CONTROL,single_stratum
GSM2810798,CONTROL,single_stratum
GSM2810799,CONTROL,single_stratum
GSM2810800,CONTROL,single_stratum
GSM2810801,CONTROL,single_stratum
GSM2810802,CONTROL,single_stratum
GSM2810803,CONTROL,single_stratum
GSM2810804,CONTROL,single_stratum
GSM2810805,CONTROL,single_stratum
GSM2810806,CONTROL,single_stratum
GSM2810807,CONTROL,single_stratum
GSM2810808,CONTROL,single_stratum
GSM2810809,CONTROL,single_stratum
GSM2810810,CONTROL,single_stratum
